wl (nm),n,k
597.729858153122,0.843555085886237,1.6076582988518
598.513856892245,0.842035759702216,1.61190637840592
599.297855631367,0.840517212580467,1.61616072791907
600.081854370489,0.838999639451262,1.62042144739675
600.865853109611,0.837483234620549,1.62468863006086
601.649851848732,0.835968191631502,1.62896236248321
602.433850587856,0.834454703131251,1.63324272471948
603.217849326978,0.832942960742579,1.6375297904439
604.001848066101,0.831433154940666,1.64182362708435
604.785846805222,0.829925474934844,1.64612429595752
605.569845544345,0.828420108554992,1.65043185240494
606.353844283466,0.82691724214314,1.65474634592825
607.137843022586,0.825417060449418,1.65906782032535
607.92184176171,0.823919746533058,1.66339631382582
608.705840500833,0.822425481667732,1.66773185922658
609.489839239953,0.820934445251726,1.67207448402692
610.273837979076,0.819446814722301,1.67642421056359
611.057836718197,0.817962765474764,1.68078105614488
611.841835457321,0.816482470785631,1.68514503318473
612.625834196443,0.815006101740241,1.68951614933561
613.409832935565,0.813533827164448,1.69389440762109
614.193831674686,0.812065813560356,1.6982798065676
614.97783041381,0.810602225046317,1.70267234033484
615.76182915293,0.809143223300611,1.7070719988457
616.545827892052,0.80768896750905,1.71147876791507
617.329826631174,0.80623961431651,1.71589262937715
618.113825370296,0.804795317781895,1.72031356121213
618.89782410942,0.803356229336942,1.72474153767108
619.68182284854,0.80192249774834,1.72917652939993
620.465821587662,0.800494269083367,1.73361850356197
621.249820326783,0.79907168667893,1.73806742395864
622.033819065907,0.797654891113668,1.74252325114931
622.817817805029,0.796244020183397,1.7469859425691
623.601816544152,0.794839208879493,1.75145545264542
624.385815283274,0.793440589370331,1.75593173291266
625.169814022396,0.792048290985581,1.76041473212534
625.953812761518,0.79066244020328,1.76490439636955
626.737811500638,0.789283160639695,1.76940066917252
627.521810239761,0.787910573041701,1.77390349161063
628.305808978882,0.786544795281804,1.77841280241529
629.089807718007,0.785185942355496,1.78292853807743
629.873806457128,0.783834126381089,1.78745063294961
630.65780519625,0.782489456601713,1.79197901934673
631.441803935371,0.781152039389577,1.79651362764452
632.225802674493,0.779821978252333,1.80105438637614
633.009801413617,0.778499373841359,1.80560122232716
